PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,AN7299S-E1V,F,E,ST31S0000154,UCE7V528.1,1155,0,WT,2014-07-31 16:24:42,
SG21,AN6564NS-E1V,F,E,ST31S0000154,UCE7V512.1,758,0,WT,2014-07-31 16:24:42,
SG21,MN101AFB1AXX,F,E,ST31S0000155,UCE7V429.1,83,0,WT,2014-07-31 16:24:42,
SG21,AN78L05TA,F,E,ST31S0000070,UCE7V541.1,2379,0,WT,2014-07-31 16:24:42,
SG21,AN3320S-E1V,F,E,ST31S0000154,UCF7K016.1,1357,0,WT,2015-07-19 16:11:16,
SG21,MIP0050ME1BR,F,E,ST31S0000154,UCECH005.1,283,0,WT,2014-12-10 14:51:31,
SG21,AN13410A-VB,F,E,ST31S0000154,UCG2KDEO.1,969,0,WT,2016-02-05 18:06:18,
SG21,MN864729-EB,T,E,ST31S0000123,UCH3U026.1,0,2000,OW,2017-03-28 22:26:45,
SG21,MN2WS0230A2N,T,E,ST11S0000068,UBH3U037.1,0,120,EW,2017-03-26 02:58:46,
SG21,MN2WS0230A2N,T,E,ST11S0000068,UBH3U038.1,0,120,EW,2017-03-26 02:58:46,
SG21,MIP3E10MSSCF,F,E,ST31S0000033,UCE7V575.1,1148,0,WT,2014-07-31 16:24:42,
SG21,2PG503Y001HD,F,E,ST31S0000033,UCE9C005.1,72,0,WT,2014-07-31 16:24:42,
SG21,MIP2E4DMY1HD,F,E,ST31S0000033,UCF49008.1,23,0,WT,2015-04-09 19:39:52,
SG21,AN6754S-E2V,F,E,ST31S0000154,UCE7V596.1,107,0,WT,2014-07-31 16:24:42,
SG21,AN6597FJMEBV,F,E,ST31S0000120,UCE7V590.1,1418,0,WT,2014-07-31 19:34:23,
SG21,AN7708,F,E,ST31S0000070,UCE7V441.1,3369,0,WT,2014-07-31 16:24:42,
SG21,AN7815A,F,E,ST31S0000070,UCE7V553.1,293,0,WT,2014-07-31 16:24:42,
